Product Name;Product Price;Product Old Price;Product Discount;Product Rating;Product Reviews;Product Link;Product Image
Porte Bougie en Métal et en Verre Vélo 18 X 10 Cm;29.00 TND;;;;;https://jumia.com.tn/sans-marque-porte-bougie-en-metal-et-en-verre-velo-18-x-10-cm-733955.html;https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/55/9337/1.jpg?5050
Velo lapin couleur bleu 1 an à 3 ans;40.00 TND;;;;;https://jumia.com.tn/sans-marque-velo-lapin-couleur-bleu-1-an-a-3-ans-733169.html;https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/96/1337/1.jpg?5048
Vélo Panier De Fleurs - Mauve;15.00 TND;25.00 TND;40%;4;1;https://jumia.com.tn/sans-marque-velo-panier-de-fleurs-mauve-151988.html;https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/88/9151/1.jpg?9578
artzy Sticker vélo lampadaire - 57*125 cm - NOIR;47.00 TND;67.00 TND;30%;;;https://jumia.com.tn/artzy-sticker-velo-lampadaire-57125-cm-noir-314230.html;https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/03/2413/1.jpg?4305
Generic Étui de téléphone étanche pour vélo, moteur à 360°, support de montage pour tous les téléphones mobiles;44.90 TND;89.80 TND;50%;;;https://jumia.com.tn/generic-etui-de-telephone-etanche-pour-velo-moteur-a-360-support-de-montage-pour-tous-les-telephones-mobiles-807278.html;https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/87/2708/1.jpg?6189
Support smartphone vélo étanche - 900 m;70.00 TND;;;5;1;https://jumia.com.tn/decathlon-support-smartphone-velo-etanche-900-m-717236.html;https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/63/2717/1.jpg?2189
Sur_Mesur Pack de Trois Coussins - Velours - Noir;49.00 TND;90.00 TND;46%;4;6;https://jumia.com.tn/surmesur-pack-de-trois-coussins-velours-noir-30082.html;https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/28/003/1.jpg?1166
Sotufab Tricycle scooter couleur fille;66.90 TND;89.00 TND;25%;;;https://jumia.com.tn/sotufab-tricycle-scooter-couleur-fille-754203.html;https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/30/2457/1.jpg?7547
Bombe Réparation Crevaison Velo;19.00 TND;;;;;https://jumia.com.tn/decathlon-bombe-reparation-crevaison-velo-830936.html;https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/63/9038/1.jpg?0398
Démontes Pneu Velo;12.00 TND;;;;;https://jumia.com.tn/decathlon-demontes-pneu-velo-830931.html;https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/13/9038/1.jpg?0397
"Bicyclette de Ville 26"" - YBJ-506 - 7 Vitesses - Rose";515.00 TND;725.00 TND;29%;;;https://jumia.com.tn/sans-marque-bicyclette-de-ville-26-ybj-506-7-vitesses-rose-608255.html;https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/55/2806/1.jpg?0807
Vélo Panier De Fleurs - Bleu;15.00 TND;28.00 TND;46%;;;https://jumia.com.tn/sans-marque-velo-panier-de-fleurs-bleu-152015.html;https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/51/0251/1.jpg?9578
"Portable Air compresseur - Pour Pneus De Voiture matelas, balles, vélos; piscines; ...";75.00 TND;145.00 TND;48%;4.7;3;https://jumia.com.tn/sans-marque-portable-air-compresseur-pour-pneus-de-voiture-matelas-balles-velos-piscines-...-763973.html;https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/37/9367/1.jpg?2666
Vélo Panier De Fleurs - Rose;17.00 TND;25.00 TND;32%;;;https://jumia.com.tn/sans-marque-velo-panier-de-fleurs-rose-151986.html;https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/68/9151/1.jpg?2326
Generic Support de fixation pour moto/vélo;47.95 TND;95.90 TND;50%;;;https://jumia.com.tn/generic-support-de-fixation-pour-motovelo-837981.html;https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/18/9738/1.jpg?9368
Lampe De Travail LED 4600lm Spot 12V 24V Bateau Atv Vélo SUV 4X4;190.00 TND;;;;;https://jumia.com.tn/sans-marque-lampe-de-travail-led-4600lm-spot-12v-24v-bateau-atv-velo-suv-4x4-672277.html;https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/77/2276/1.jpg?3390
Sotufab Tricycle Flipper - Avec Casque-- Multicouleur;88.90 TND;99.00 TND;10%;4;1;https://jumia.com.tn/tricycle-flipper-avec-casque-multicouleur-sotufab-mpg17217.html;https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/59/7632/1.jpg?9772
DJO Supports de bicyclettes - Porte velos de base sur boule d'attelage 3 postes;299.50 TND;395.00 TND;24%;;;https://jumia.com.tn/djo-supports-de-bicyclettes-porte-velos-de-base-sur-boule-dattelage-3-postes-812565.html;https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/56/5218/1.jpg?2727
Sotufab Tricycle Flipper - Avec Casque-- Multicouleur;88.00 TND;99.00 TND;11%;;;https://jumia.com.tn/sotufab-tricycle-flipper-avec-casque-multicouleur-822076.html;https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/67/0228/1.jpg?9106
RIVERSIDE Sacoche Double 500 Cadre;39.00 TND;;;;;https://jumia.com.tn/riverside-sacoche-double-500-cadre-830929.html;https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/92/9038/1.jpg?8555
RIVERSIDE Sacoche Cadre Fb100 1.5l Noir;51.00 TND;;;;;https://jumia.com.tn/riverside-sacoche-cadre-fb100-1.5l-noir-831039.html;https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/93/0138/1.jpg?0457
Houpettes à maquillage en velours 6 pièces;11.00 TND;20.00 TND;45%;5;4;https://jumia.com.tn/sans-marque-houpettes-a-maquillage-en-velours-6-pieces-822551.html;https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/15/5228/1.jpg?2764
